"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel"
"9403.6000";"Holzmöbel";"300012462";"300012462-10";10;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";07.10.2011 00:00:00;07.10.2011 00:00:00;65.00;65.00;690.21;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00100366120100 0001";"Unterbau Noto 1200mm";"61";"Noto";"SP0010036";"6120100 0001"
"7324.9021";"Sanitärartikel";"300012462";"300012462-20";20;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";07.10.2011 00:00:00;07.10.2011 00:00:00;31.00;31.00;342.75;1.00;"Euro";19;"R&F";"200";;;1;0;"3000124626100100 0001";"Mineralgusswaschtisch 900 mm";"61";"Noto";"300012462";"6100100 0001"
"9403.6000";"Holzmöbel";"300012462";"300012462-21";21;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";07.10.2011 00:00:00;07.10.2011 00:00:00;36.00;36.00;692.09;1.00;"Euro";19;"R&F";"200";;;1;0;"3000124626142300 0001";"Spiegelschrank Noto 900 mm";"61";"Noto";"300012462";"6142300 0001"
"9403.6000";"Holzmöbel";"300012469";"300012469-10";10;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";30.09.2011 00:00:00;30.09.2011 00:00:00;39.50;39.50;550.85;1.00;"Euro";19;"R&F";"200";;;1;5;"SP00100038423101 0001";"Unterbau MyStar 1060mm";"84";"MyStar";"SP0010003";"8423101 0001"
"9403.6000";"Holzmöbel";"300012471";"300012471-10";10;"Richter + Frenzel Bamberg";"H00000323";"Kronacherstrasse";"100";"DE";"96052";"Bamberg";"DE-4949692               ";29.09.2011 00:00:00;29.09.2011 00:00:00;70.00;70.00;750.48;1.00;"Euro";19;"R&F";"200";;;1;5;"3000124717721400 0001";"Unterbau neo.2 1200mm";"77";"neo.2";"300012471";"7721400 0001"
"9403.6000";"Holzmöbel";"300012487";"300012487-10";10;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";07.10.2011 00:00:00;07.10.2011 00:00:00;65.00;65.00;857.35;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00100376120100 0001";"Unterbau Noto 1350mm";"61";"Noto";"SP0010037";"6120100 0001"
"9403.6000";"Holzmöbel";"300012487";"300012487-20";20;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";07.10.2011 00:00:00;07.10.2011 00:00:00;30.00;30.00;655.37;1.00;"Euro";19;"R&F";"200";;;1;0;"3000124875941500 0001";"Spiegelschrank MyStyle 900 mm";"59";"MyStyle / cubito";"300012487";"5941500 0001"
"9403.9090";"Möbelteile aus Holz";"300012492";"300012492-10";10;"Richter + Frenzel Fulda";"H00000354";"Breitungerstrasse";"1";"DE";"36100";"Petersberg b. Fulda";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;15.00;15.00;247.65;1.00;"Euro";19;"R&F";"200";;;1;5;"3000124927704700 0001";"ABF Kunstharz neo.2 1800mm";"77";"neo.2";"300012492";"7704700 0001"
"9403.6000";"Holzmöbel";"300012492";"300012492-11";11;"Richter + Frenzel Fulda";"H00000354";"Breitungerstrasse";"1";"DE";"36100";"Petersberg b. Fulda";"DE-4949692               ";06.10.2011 00:00:00;06.10.2011 00:00:00;70.00;70.00;767.42;1.00;"Euro";19;"R&F";"200";;;1;0;"3000124927723700 0001";"Unterbau neo.2 1800mm";"77";"neo.2";"300012492";"7723700 0001"
"9403.6000";"Holzmöbel";"300012499";"300012499-10";10;"Richter + Frenzel Giessen";"H00000355";"Gottlieb-Daimler-Str.";"8";"DE";"35398";"Giessen";"DE-4949692               ";30.09.2011 00:00:00;30.09.2011 00:00:00;18.50;18.50;334.28;1.00;"Euro";19;"R&F";"200";;;1;5;"3000124998421300 0001";"Unterbau MyStar 620 mm";"84";"MyStar";"300012499";"8421300 0001"
